vendor_id,product_name,category,description,url,pricing,target_audience,requirements,deployment,support
arctic_wolf_we_make_security_work,Cybersecurity for State and Local Government,security,a,https://arcticwolf.com/solutions/industries/government/,,,,,
arctic_wolf_we_make_security_work,Aurora Endpoint Security,security,A,https://arcticwolf.com/solutions/endpoint-security/,,,,,
arctic_wolf_we_make_security_work,Arctic Wolf for Solution Providers,general,t,https://arcticwolf.com/partners/solution-providers/,,,,,
arctic_wolf_we_make_security_work,Legal Industry Cybersecurity,security,S,https://arcticwolf.com/solutions/industries/legal/,,,,,
arctic_wolf_we_make_security_work,Managed Security Awareness,security,S,https://arcticwolf.com/solutions/managed-security-awareness/,,,,,
arctic_wolf_we_make_security_work,Security Operations Bundles,security,S,https://arcticwolf.com/solutions/bundles/,,,,,
arctic_wolf_we_make_security_work,Financial Industry Cybersecurity,security,S,https://arcticwolf.com/solutions/industries/financial-services/,,,,,
arctic_wolf_we_make_security_work,Meeting Industry Cybersecurity and Regulatory Requirements,security,S,https://arcticwolf.com/solutions/industries/,,,,,
arctic_wolf_we_make_security_work,Manufacturing Industry Cybersecurity,security,S,https://arcticwolf.com/solutions/industries/manufacturing/,,,,,
arctic_wolf_we_make_security_work,Solutions,security,S,https://arcticwolf.com/solutions/cloud-security-posture-management/,,,,,
arctic_wolf_we_make_security_work,Cloud Detection and Response,cloud,S,https://arcticwolf.com/solutions/cloud-detection-and-response/,,,,,
arctic_wolf_we_make_security_work,OEM Solutions,general,a,https://arcticwolf.com/partners/oem-solutions/,,,,,
arctic_wolf_we_make_security_work,Incident Response,general,I,https://arcticwolf.com/solutions/incident-response/,,,,,
arctic_wolf_we_make_security_work,Alpha AI,platform,T,https://arcticwolf.com/aurora-platform/alpha-ai/,,,,,
arctic_wolf_we_make_security_work,Incident360 Retainer,general,I,https://arcticwolf.com/solutions/incident-response-retainer/,,,,,
arctic_wolf_we_make_security_work,Solutions,security,S,https://arcticwolf.com/solutions/,,,,,
arctic_wolf_we_make_security_work,Aurora Platform,platform,S,https://arcticwolf.com/aurora-platform/,,,,,
arctic_wolf_we_make_security_work,Healthcare Cybersecurity,security,f,https://arcticwolf.com/solutions/industries/healthcare/,,,,,
arctic_wolf_we_make_security_work,Managed Detection and Response (MDR),general,S,https://arcticwolf.com/solutions/managed-detection-and-response/,,,,,
arctic_wolf_we_make_security_work,Arctic Wolf Interactive Tools,tool,I,https://arcticwolf.com/interactive-insights/,,,,,
arctic_wolf_we_make_security_work,Solutions,general,S,https://arcticwolf.com/solutions/managed-risk/,,,,,
arctic_wolf_we_make_security_work,Cyber Jumpstart,general,r,https://arcticwolf.com/solutions/cyber-jumpstart/,,,,,
